,Country,hdi_2009,hdi_2019,hdi_var,edu_2009,edu_2019,edu_var,pov_index
51, Egypt,0.6620000004768372,0.7070000171661377,0.04500001668930054,11.800000190734863,13.300000190734863,1.5,0.01899999938905239
52, El Salvador,0.656000018119812,0.6729999780654907,0.01699995994567871,12.399999618530273,11.699999809265137,-0.6999998092651367,0.03200000151991844
53, Equatorial Guinea,0.5849999785423279,0.5920000076293945,0.00700002908706665,9.199999809265137,9.699999809265137,0.5,0.14128972589969635
54, Eritrea,0.4359999895095825,0.45899999141693115,0.023000001907348633,5.5,5.0,-0.5,0.14128972589969635
55, Estonia,0.8460000157356262,0.8920000195503235,0.046000003814697266,16.200000762939453,16.0,-0.20000076293945312,0.14128972589969635
56, Eswatini (Kingdom of),0.49799999594688416,0.6110000014305115,0.11300000548362732,11.0,11.800000190734863,0.8000001907348633,0.08100000023841858
57, Ethiopia,0.41100001335144043,0.48500001430511475,0.07400000095367432,8.100000381469727,8.800000190734863,0.6999998092651367,0.48899999260902405
58, Fiji,0.7149999737739563,0.7429999709129333,0.02799999713897705,14.600000381469727,14.399999618530273,-0.20000076293945312,0.14128972589969635
59, Finland,0.9120000004768372,0.9380000233650208,0.026000022888183594,16.799999237060547,19.399999618530273,2.6000003814697266,0.14128972589969635
60, France,0.8759999871253967,0.9010000228881836,0.025000035762786865,15.0,15.600000381469727,0.6000003814697266,0.14128972589969635
61, Gabon,0.6460000276565552,0.703000009059906,0.05699998140335083,12.5,13.0,0.5,0.06599999964237213
62, Gambia,0.4560000002384186,0.4959999918937683,0.03999999165534973,8.800000190734863,9.899999618530273,1.0999994277954102,0.20399999618530273
63, Georgia,0.7459999918937683,0.8119999766349792,0.06599998474121094,13.300000190734863,15.300000190734863,2.0,0.0010000000474974513
64, Germany,0.9240000247955322,0.9470000267028809,0.023000001907348633,16.700000762939453,17.0,0.2999992370605469,0.14128972589969635
65, Ghana,0.5580000281333923,0.6110000014305115,0.05299997329711914,10.5,11.5,1.0,0.1379999965429306
66, Greece,0.8669999837875366,0.8880000114440918,0.021000027656555176,16.399999618530273,17.899999618530273,1.5,0.14128972589969635
67, Grenada,0.75,0.7789999842643738,0.02899998426437378,15.800000190734863,16.899999618530273,1.0999994277954102,0.14128972589969635
68, Guatemala,0.6010000109672546,0.6629999876022339,0.06199997663497925,10.5,10.800000190734863,0.3000001907348633,0.1340000033378601
69, Guinea,0.40799999237060547,0.47699999809265137,0.0690000057220459,8.100000381469727,9.399999618530273,1.2999992370605469,0.37299999594688416
70, Guinea-Bissau,0.4300000071525574,0.47999998927116394,0.04999998211860657,9.699999809265137,10.600000381469727,0.9000005722045898,0.3720000088214874
71, Guyana,0.640999972820282,0.6819999814033508,0.04100000858306885,10.699999809265137,11.399999618530273,0.6999998092651367,0.014000000432133675
72, Haiti,0.4699999988079071,0.5099999904632568,0.03999999165534973,8.600000381469727,9.699999809265137,1.0999994277954102,0.20000000298023224
73, Honduras,0.6050000190734863,0.6340000033378601,0.02899998426437378,10.600000381469727,10.100000381469727,-0.5,0.09000000357627869
74," Hong Kong, China (SAR)",0.9010000228881836,0.9490000009536743,0.04799997806549072,15.399999618530273,16.899999618530273,1.5,0.14128972589969635
75, Hungary,0.828000009059906,0.8539999723434448,0.02599996328353882,15.199999809265137,15.199999809265137,0.0,0.14128972589969635
76, Iceland,0.8980000019073486,0.9490000009536743,0.050999999046325684,18.299999237060547,19.100000381469727,0.8000011444091797,0.14128972589969635
77, India,0.5690000057220459,0.6449999809265137,0.07599997520446777,10.399999618530273,12.199999809265137,1.8000001907348633,0.12300000339746475
78, Indonesia,0.6579999923706055,0.7179999947547913,0.06000000238418579,12.0,13.600000381469727,1.6000003814697266,0.014000000432133675
79, Iran (Islamic Republic of),0.734000027179718,0.7829999923706055,0.04899996519088745,12.899999618530273,14.800000190734863,1.9000005722045898,0.14128972589969635
80, Iraq,0.6320000290870667,0.6740000247955322,0.041999995708465576,10.399999618530273,11.300000190734863,0.9000005722045898,0.032999999821186066
81, Ireland,0.906000018119812,0.9549999833106995,0.04899996519088745,17.0,18.700000762939453,1.7000007629394531,0.14128972589969635
82, Israel,0.8899999856948853,0.9190000295639038,0.029000043869018555,15.699999809265137,16.200000762939453,0.5000009536743164,0.14128972589969635
83, Italy,0.8759999871253967,0.8920000195503235,0.016000032424926758,16.299999237060547,16.100000381469727,-0.1999988555908203,0.14128972589969635
84, Jamaica,0.7329999804496765,0.734000027179718,0.001000046730041504,14.5,13.100000381469727,-1.3999996185302734,0.017999999225139618
85, Japan,0.8820000290870667,0.9190000295639038,0.03700000047683716,14.899999618530273,15.199999809265137,0.3000001907348633,0.14128972589969635
86, Jordan,0.7429999709129333,0.7289999723434448,-0.013999998569488525,13.199999809265137,11.399999618530273,-1.8000001907348633,0.0020000000949949026
87, Kazakhstan,0.7620000243186951,0.824999988079071,0.06299996376037598,14.5,15.600000381469727,1.1000003814697266,0.0020000000949949026
88, Kenya,0.5410000085830688,0.6010000109672546,0.06000000238418579,10.5,11.300000190734863,0.8000001907348633,0.17800000309944153
89, Kiribati,0.5879999995231628,0.6299999952316284,0.041999995708465576,11.899999618530273,11.800000190734863,-0.09999942779541016,0.07999999821186066
90, Korea (Republic of),0.8769999742507935,0.9160000085830688,0.03900003433227539,16.799999237060547,16.5,-0.2999992370605469,0.14128972589969635
91, Kuwait,0.7889999747276306,0.8059999942779541,0.017000019550323486,13.5,14.199999809265137,0.6999998092651367,0.14128972589969635
92, Kyrgyzstan,0.6610000133514404,0.6970000267028809,0.03600001335144043,12.5,13.0,0.5,0.0010000000474974513
93, Lao People's Democratic Republic,0.5450000166893005,0.6129999756813049,0.0679999589920044,9.699999809265137,11.0,1.3000001907348633,0.1080000028014183
94, Latvia,0.8259999752044678,0.8659999966621399,0.04000002145767212,15.899999618530273,16.200000762939453,0.3000011444091797,0.14128972589969635
95, Lebanon,0.7639999985694885,0.7440000176429749,-0.019999980926513672,13.300000190734863,11.300000190734863,-2.0,0.14128972589969635
96, Lesotho,0.45500001311302185,0.5270000100135803,0.07199999690055847,10.899999618530273,11.300000190734863,0.40000057220458984,0.08399999886751175
97, Liberia,0.4519999921321869,0.47999998927116394,0.02799999713897705,9.600000381469727,9.600000381469727,0.0,0.3199999928474426
